GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
qaacademy_exercicios_junit,utils,Utils,9,0,0,0,3,0,3,0,3,0
qaacademy_exercicios_junit,medium,Exercicio_01_medio,0,34,0,4,0,9,0,4,0,2
qaacademy_exercicios_junit,medium,Exercicio_02_medio,0,32,0,2,0,9,0,4,0,3
qaacademy_exercicios_junit,medium,Exercicio_08_medio,82,0,2,0,20,0,4,0,3,0
qaacademy_exercicios_junit,medium,Exercicio_06_medio,18,0,2,0,6,0,3,0,2,0
qaacademy_exercicios_junit,medium,Exercicio_09_medio,62,0,4,0,17,0,7,0,5,0
qaacademy_exercicios_junit,medium,Exercicio_05_medio,33,0,6,0,11,0,6,0,3,0
qaacademy_exercicios_junit,medium,Exercicio_10_medio,64,0,4,0,14,0,5,0,3,0
qaacademy_exercicios_junit,medium,Exercicio_04_medio,0,44,0,4,0,10,0,4,0,2
qaacademy_exercicios_junit,medium,Exercicio_03_medio,0,30,1,3,0,9,1,3,0,2
qaacademy_exercicios_junit,medium,Exercicio_07_medio,55,0,0,0,15,0,2,0,2,0
qaacademy_exercicios_junit,easy,Exercicio_05_easy,0,33,0,0,0,9,0,5,0,5
qaacademy_exercicios_junit,easy,Exercicio_08_easy,0,73,0,18,0,14,0,12,0,3
qaacademy_exercicios_junit,easy,Exercicio_02_easy,0,12,0,0,0,2,0,2,0,2
qaacademy_exercicios_junit,easy,Exercicio_09_easy,0,33,0,2,0,7,0,3,0,2
qaacademy_exercicios_junit,easy,Exercicio_10_easy,0,28,0,2,0,9,0,4,0,3
qaacademy_exercicios_junit,easy,Exercicio_04_easy,0,16,0,0,0,3,0,2,0,2
qaacademy_exercicios_junit,easy,Exercicio_07_easy,0,70,0,18,0,14,0,11,0,2
qaacademy_exercicios_junit,easy,Exercicio_06_easy,0,54,0,8,0,9,0,6,0,2
qaacademy_exercicios_junit,easy,Exercicio_11_easy,0,16,0,2,0,7,0,3,0,2
qaacademy_exercicios_junit,easy,Exercicio_03_easy,0,16,0,0,0,2,0,2,0,2
